ID,Feature,Description
R-17,Custom Keywords,surf using user-defined 'custom keyword'.
R-18,Sort by columns,sort and reverse-sort per column
R-36,Overflow,"Determine whether extremely large images can be copied from web
      pages."
R-40,General,"Determine whether HTML entities can be properly copied to other
      applications."
R-47,D&D to Dialog,"Confirm that text, links, and images dragged to a
      non-modal dialog are handled properly"
R-48,D&D from the desktop – Folders,"Confirm that dragging a directory
      to the browser window displays the folder contents"
R-66,Form Manager - Permission Zones,"* Longer range:
      there is discussion about introducing Internet permission zones.
      Some of the settings shown here may be controlled by such zones
      (Waiting for Implementation)"
R-77,Edit Form Data - cancel,"Verify that if you enter data in the Form Manager and then
      click cancel, the data has not been saved"
R-94,Glossary,"Verify that in the Glossary there includes a tutorial on how to do
        better searches"
R-99,Arrow up/down,"Verify that you can move around pages with the up and down arrow
        keys"
R-110,Security and Privacy,Determine whether Security and Privacy displays correctly
R-118,Feedback Center,Determine whether the Feedback Center displays correctly
R-123,Load recorded url,"Verify that double-clicking on a history link causes it to be
        launched in a browser window."
R-151,Cache/Networking,"Determine whether images load directly into the web browser from a
        networked server."
R-155,Animated Images,"Determine whether displaying animated GIFs result in single server
        request for the image, rather than additional requests upon each frame
        change."
R-185,"Tasks, passwords saved, remove all","Verify that you can remove all username and password information and
      it will no longer autofill nor will anything be listed in password
      manager (lycos.com)"
R-199,Sample XML Pages for printing,Determine if XML pages print properly
R-204,Print Tables,Determine if tables print correctly
R-215,Sound tests,Determine if files with various sound formats play properly
R-224,basic sidebar search,Verify that a user can change the search engine
R-247,Add/Remove,Verify list of available local panels
R-289,Select and copy,Select and copy strings from the source window.
R-303,Verify all the selectable items work under Classic theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Classic theme"
R-311,Collapse (mac only),Click to shrink to content
R-322,Correct items on Bookmarks bar.,Verify correct bookmarks are installed in Bookmarks bar.
